"","Var1","Var2","TiempoIndep"
"2","Pouteria sapota","Conepatus semistriatus",350
"3","Licania platypus","Cuniculus paca",248
"4","Pouteria sapota","Cuniculus paca",85
"5","Licania platypus","Dasyprocta punctata",300
"6","Pouteria sapota","Dasyprocta punctata",592
"10","Pouteria sapota","Eira barbara",475
"17","Licania platypus","Nasua narica",178
"18","Pouteria sapota","Nasua narica",31
"19","Licania platypus","Pecari tajacu",42
"20","Pouteria sapota","Pecari tajacu",325
"22","Pouteria sapota","Philander opossum",1
"25","Licania platypus","Tapirus bairdii",362
"26","Pouteria sapota","Tapirus bairdii",342
